context,id,labels,object,object_type,predicate,primary_language,recorded_at,relationship_strength,subject,subject_type,symbolic_representation,temporal_aspect
recorded_strength,mostlyf5-e09e-4266-acb1-ca1cf304c041,KnowledgeDomain:KnowledgeGraphTriple,primary,concept,strong,Yoruba,2025-03-17 09:24:00,strong,"S.57,0.565,:1.74847,-042, ",place,", ",timeless
neural_embedding,mostly98-d659-479e-8f12-99937665a1d9,KnowledgeDomain:KnowledgeGraphTriple,object_type,concept,place,Igbo,2024-03-18 04:03:00,strong,"historical,d ",cultural_element,: ,historical
", ",mostly5e-cc73-401b-9750-7bb1731319c4,KnowledgeDomain:KnowledgeGraphTriple,2024representation,organization,I,Hausa,2025-06-06 17:12:00,strong,object,concept,,historical
context,mostly64-7d78-454b-b858-919784705a07,KnowledgeDomain:KnowledgeGraphTriple,", ",concept,South ,Shona,2025-03-20 15:01:00,moderate,timeless,concept,S_representation,historical
strong ,mostly98-8fcd-4966-b114-8b276ed1dd28,KnowledgeDomain:KnowledgeGraphTriple,conceptsindd ,concept,neural,Yoruba,2024-04-05 14:36:00,strong,{,organization,-,historical
Zulu,mostly99-3a97-43b1-a911-a79b9e91c3e7,KnowledgeDomain:KnowledgeGraphTriple,: ,organization,G_graph,Amharic,2025-05-11 06:37:00,strong,G,place,2025s,historical
} ,mostlyc7-7be9-4c81-89e4-4678005ced83,KnowledgeDomain:KnowledgeGraphTriple,", ",concept,: ,Swahili,2024-05-28 19:22:00,moderate,: ,concept,predicate,historical
historicals,mostly92-db46-4409-b06d-1f417418b463,KnowledgeDomain:KnowledgeGraphTriple,subject ,concept,organization,Zulu,2025-03-21 09:42:00,strong,primary,organization,: ,historical
Gy,mostly02-1ae9-4543-9307-14e2207145a6,KnowledgeDomain:KnowledgeGraphTriple,", ",cultural_element,objectaamic_or,Oromo,2024-04-30 03:13:00,strong,M,cultural_element,subject_type,historical
", ",mostly2a-e03a-4a92-9b37-b742014ce790,KnowledgeDomain:KnowledgeGraphTriple,"cultural, ",organization,N00} {,Amharic,2025-04-28 02:56:00,strong,recordedao,person,relationship_representation,timeless
place,mostly81-2a30-40b3-a334-5619b4492695,KnowledgeDomain:KnowledgeGraphTriple,knowledge_at,cultural_element,concept,Igbo,2024-01-05 19:52:00,moderate,C,place,2025-,historical
", ",mostly20-1b1a-45a8-bd72-cf76f14c718a,KnowledgeDomain:KnowledgeGraphTriple,context,concept,}subject,Amharic,2024-12-06 14:40:00,moderate,timeless,organization,context,historical
historical,mostly27-6526-4d97-983d-1fe6247e3fdf,KnowledgeDomain:KnowledgeGraphTriple,temporal ,place,",-",Yoruba,2024-04-26 04:23:00,strong,place,place,2025,historical
"temporal, ",mostly5c-29b7-4a55-bf42-7cfd017ce86e,KnowledgeDomain:KnowledgeGraphTriple,"2025--0.382906-1.581,1.842,-0.,-62,-0.0306,1.5-1,0.9,-04-0.58,-1.7639,-1.0371-2,0.049,0.4808,8-08,-0.430,1.12,-13.846",concept, ,Hausa,2024-02-24 04:38:00,moderate,", ",concept,context,historical
moderate,mostly21-35ee-4374-ac37-a330f2124146,KnowledgeDomain:KnowledgeGraphTriple,strong,concept,", ",Swahili,2025-09-19 16:48:00,strong,subject,place,concept,historical
", {",mostly9d-1b16-4f26-b0ba-a0da494c2b4e,KnowledgeDomain:KnowledgeGraphTriple,temporalp,concept,:,Igbo,2024-01-29 21:20:00,strong,place,concept,", b",timeless
Swahili0a,mostly45-edb0-4124-bf33-847cda107dc5,KnowledgeDomain:KnowledgeGraphTriple,:,place,relationship_k,Swahili,2024-08-12 21:46:00,moderate,predicateo,place,{,current
Yoruba00,mostlyde-5d73-4e4b-a178-180511e2e078,KnowledgeDomain:KnowledgeGraphTriple,neural_type,concept,subject,Amharic,2025-09-16 12:13:00,weak,objectbraicich cs ,person,",",historical
"2024-09-12-029,0.295,23-0.306,-0.79,-1.018,-0.487,- ",mostly33-864d-4a89-985d-eb1e41433ec6,KnowledgeDomain:KnowledgeGraphTriple,Yorubam,concept,Igbo_representation,Zulu,2024-02-04 14:38:00,weak,subject,place,concepta,timeless
temporal_at,mostlyb4-3bfc-48a5-9434-1b0097d827b7,KnowledgeDomain:KnowledgeGraphTriple,G,concept,Amharic,Shona,2025-09-29 17:32:00,moderate,subject andgal and ,concept,symbolic_strength,historical
2024- ,mostly6b-1bc7-4738-a6c0-12c53bd9652d,KnowledgeDomain:KnowledgeGraphTriple,subject_type,organization,place,Shona,2025-01-17 06:49:00,moderate,person-d,concept,subject_type,timeless
", ",mostly4b-42e1-4481-9eb2-7ce61691d5a5,KnowledgeDomain:KnowledgeGraphTriple,Yoruba_embedding,object,}strong,Swahili,2024-08-30 08:03:00,moderate,historical,place,subject,current
concept_representation,mostly47-2d8e-4738-aa32-722719f71b23,KnowledgeDomain:KnowledgeGraphTriple,knowledge_at,concept,symbolic_type,Shona,2024-05-06 19:19:00,moderate,,concept,concept,timeless
predicate,mostly6e-cee9-45d4-abc2-fab308d02c8f,KnowledgeDomain:KnowledgeGraphTriple,neuralT_type,organization,", ",Hausa,2024-07-30 19:06:00,moderate,primary_representation,place,"-04s05.28.6,-.543,0.60.1729,--141.2316.45,-1:1.0,0.7.220846,1.7200,-0.9018,-81.486",timeless
subject,mostly07-cbe2-41a9-8f73-42b5547a9900,KnowledgeDomain:KnowledgeGraphTriple,object_type,place,Gri,Zulu,2024-08-24 00:11:00,moderate,"recordeds, ",place,recorded: ,historical
historical{,mostly69-88c7-44d0-a4a3-e864561db417,KnowledgeDomain:KnowledgeGraphTriple,"2024-0.07223,0.01,",cultural_element,"2025-0.06,1.38,1.,0.1516,-T.4748,1.6,0.105,0.0651,1.716, ",Igbo,2024-02-07 05:08:00,strong,2025ra ,concept,object,historical
Yoruba_aspect,mostlyd9-965b-4b68-9c42-b0752d0b1081,KnowledgeDomain:KnowledgeGraphTriple,M,cultural_element,E,Zulu,2024-12-09 19:31:00,moderate,relationship00,place,context,historical
place,mostlyca-cccb-480a-9353-2845c79236a1,KnowledgeDomain:KnowledgeGraphTriple,", ",organization,primary_type,Zulu,2025-01-22 18:31:00,moderate,E,person,M c,historical
"2025-0.642,-0.56-5:1.1557-0.66,-021428,0.02,-051.164},1.0313575,-1.48531,1.037,01.42,1.1525,0.6,82,-1.5719,-0.36T,0.2805,-041",mostly27-6de1-4d29-b35e-de44b8949c26,KnowledgeDomain:KnowledgeGraphTriple,", ",concept,"2025_u-1.07020.5,,1.657,1-1.83,10.3226,0.849,1,-0.431,.08",Swahili,2025-05-12 23:10:00,strong,predicatey,concept,Zulu,historical
 ,mostly81-2e6f-4cd8-af6c-4eb97ccebc1c,KnowledgeDomain:KnowledgeGraphTriple,knowledge,place,context: ,Hausa,2024-01-27 15:55:00,strong,context,place,: {,historical
"subject,",mostlyd3-fe01-4f88-b539-2d972ce3b39c,KnowledgeDomain:KnowledgeGraphTriple,primary_strength,event,C {,Igbo,2024-04-07 15:20:00,moderate, ,place,temporal,historical
recorded_graph,mostlydd-32a2-4906-b7b9-e47734a556a6,KnowledgeDomain:KnowledgeGraphTriple,", ",concept,current,Swahili,2024-12-17 10:49:00,strong,place,place,historical,historical
symbolicror_type,mostly18-10eb-43c7-9d58-7da62157037f,KnowledgeDomain:KnowledgeGraphTriple,neural,organization,moderate,Amharic,2025-03-28 17:59:00,moderate,:,place,,historical
timeless,mostlyd8-e957-4fc0-85ad-fb9ddb99eab0,KnowledgeDomain:KnowledgeGraphTriple,person,object,"20240.98,0.26,0.427,-0.4-70.17:T,1.78:, ",Igbo,2025-09-29 17:32:00,moderate,person ,place,concept,historical
P-,mostly9e-e93a-4173-8f63-f25b8428191a,KnowledgeDomain:KnowledgeGraphTriple,", ",event,concept,Shona,2024-03-21 18:38:00,strong,neuralk{,place, ,historical
_aspect,mostly89-8394-4bb3-b8f4-5d152fdc8f1b,KnowledgeDomain:KnowledgeGraphTriple,Amharic,concept,relationship_representation,Amharic,2024-11-27 08:18:00,strong,predicate,person,recorded_type,historical
relationship_embedding,mostly05-a973-4733-b73d-fba70728704e,KnowledgeDomain:KnowledgeGraphTriple, {,cultural_element,context,Amharic,2024-08-12 20:00:00,strong,temporal_representation,person,object,historical
2025_subject,mostly0c-4bfb-4bcb-9fc5-9872750250c3,KnowledgeDomain:KnowledgeGraphTriple, ,concept,neural,Amharic,2025-05-17 07:06:00,moderate,organization,concept,"20240.0623:, {m",historical
recorded_aspect,mostlye2-a451-4b81-95fb-a6d2d30ab7ae,KnowledgeDomain:KnowledgeGraphTriple,neural,place,: ,Swahili,2024-08-09 02:45:00,strong,predicate,place,relationship_embedding,historical
historical,mostlyff-85ba-4aa8-acdf-eb067577e33c,KnowledgeDomain:KnowledgeGraphTriple,"2025-T04-11-0.93,0.480.55242,0.4,0054902,",organization,neural_type,Zulu,2024-05-24 17:40:00,strong,context,place,strong,historical
subject_,mostlyb3-54cf-4f53-af20-443c7d1bf270,KnowledgeDomain:KnowledgeGraphTriple,2025riing,concept,cultural,Igbo,2025-04-01 21:12:00,moderate, ,organization,organizationat: ,timeless
object_aspect,mostlye5-3de1-49b3-8aa7-6126c645ba9a,KnowledgeDomain:KnowledgeGraphTriple,,cultural_element,moderate- ,Shona,2025-09-29 17:32:00,strong,object,concept,object,historical
recorded_graph,mostly4e-70d8-407d-a402-5525972cf4d2,KnowledgeDomain:KnowledgeGraphTriple,: Africa,concept,2024-0.6049013: 51{T1,Igbo,2024-08-10 14:23:00,strong,primary_language,concept,recorded_graph,timeless
relationship_graph,mostly19-70cd-4ac3-8d4c-a188598be621,KnowledgeDomain:KnowledgeGraphTriple,}} ,place,2024: ,Swahili,2024-10-10 16:06:00,moderate,", ",place,{,current
} ,mostly11-85ae-4df4-a5d5-01125d0b6941,KnowledgeDomain:KnowledgeGraphTriple,strong,organization,place,Yoruba,2025-09-29 17:32:00,moderate,subject,place,T,historical
}00,mostly15-74f2-48f6-ac8c-56c1a600c831,KnowledgeDomain:KnowledgeGraphTriple,Amhariced ,place,concept,Igbo,2024-03-24 09:57:00,moderate,place,place,neural_type,historical
context,mostly38-3207-4ee7-a5cc-09893b529fb8,KnowledgeDomain:KnowledgeGraphTriple,place_strengthan,cultural_element,: ,Igbo,2025-03-28 03:09:00,strong,subject_language,event,Amharic,historical
subject,mostlydc-b7c7-4108-9448-0f1f8d925aac,KnowledgeDomain:KnowledgeGraphTriple,place- ,place,temporal_graph,Shona,2024-12-03 20:22:00,strong,place_ato andori,organization,object,historical
predicate_type,mostly2a-3383-4d22-9a5f-1c7f8ef48f78,KnowledgeDomain:KnowledgeGraphTriple,weak,event,", ",Amharic,2024-04-03 16:24:00,moderate,,concept,predicate,historical
strong,mostly46-4c72-4a92-aa89-1715bc14e8d5,KnowledgeDomain:KnowledgeGraphTriple,neural,concept,:,Swahili,2025-02-07 21:15:00,strong,S,cultural_element,", ",historical
historical ,mostly2e-69a1-48a6-a1ae-557a86be2db6,KnowledgeDomain:KnowledgeGraphTriple,historical,place,concept,Swahili,2025-01-20 15:05:00,strong,2024_strength,cultural_element,concept} ,historical
strong,mostly95-3c20-4d23-9f1c-53c1546a970c,KnowledgeDomain:KnowledgeGraphTriple,2025-21:0500},concept,: ,Yoruba,2025-08-10 23:31:00,moderate,}}} ,organization,: ,historical
"2025-0.11942,-0.343,-1.4804:00,0",mostly4b-c481-4561-83ba-311fb702ff9d,KnowledgeDomain:KnowledgeGraphTriple,}_type of c,concept,A,Swahili,2025-04-20 18:20:00,moderate,current,place,strong,historical
"recorded.1546, ",mostlyfc-beb5-43b4-8675-68147fcaba09,KnowledgeDomain:KnowledgeGraphTriple,"concept-0.37,1",object,current,Yoruba,2025-04-19 23:12:00,strong,neural_language,place,knowledge_type,historical
strong,mostly54-a2c6-47fe-b7c6-a78f441a1d8a,KnowledgeDomain:KnowledgeGraphTriple,} ,concept,concept,Amharic,2025-01-02 15:32:00,strong,cultural,cultural_element,temporal Africaa,historical
"neural2, ",mostlyfd-1861-49ef-836e-38f48c42aaf9,KnowledgeDomain:KnowledgeGraphTriple,subject_embedding,concept,",, ",Yoruba,2024-03-12 02:45:00,moderate,historical,place,: ,historical
: ,mostlyfa-ee4f-4257-8025-c47faad5fedc,KnowledgeDomain:KnowledgeGraphTriple,primary_at,concept,,Shona,2024-03-30 04:00:00,strong,"strong, {",place,,historical
", {",mostlyd5-f10c-445e-966b-99fb714eee0d,KnowledgeDomain:KnowledgeGraphTriple,:,place,knowledge,Swahili,2025-05-23 08:54:00,strong,object,place,recorded,current
Swahili_aspect,mostly01-3c70-4dbb-abf0-57475fc536f3,KnowledgeDomain:KnowledgeGraphTriple,subject_representation,concept,2024 e,Shona,2024-02-09 22:03:00,strong,temporalvsal,concept,place,timeless
temporal_graph,mostly71-1244-49be-b9e1-ab109531d22a,KnowledgeDomain:KnowledgeGraphTriple,primary_aspect,place, _representation,Swahili,2025-06-25 06:57:00,weak,: ,place,2025,current
subject and ,mostly43-e64a-4957-b22d-b5b4a02a6ded,KnowledgeDomain:KnowledgeGraphTriple,: {,event,context,Amharic,2025-05-14 06:13:00,strong,: ,event,place,historical
"Gic, ",mostlya1-7d26-4378-ad7f-81622f534752,KnowledgeDomain:KnowledgeGraphTriple,concept,concept,objectm Africaal,Yoruba,2025-07-21 18:16:00,strong,subject{,concept,neural00,historical
relationship_strength,mostly3f-c4c0-4d0e-bdc7-d4066e81699d,KnowledgeDomain:KnowledgeGraphTriple,predicate,place,S},Amharic,2025-06-05 19:14:00,weak,recorded_type,place,moderatea,historical
Niletyarktk_,mostly9a-946f-4b0b-9369-52f56b011b8a,KnowledgeDomain:KnowledgeGraphTriple,M_type,cultural_element,timeless,Shona,2025-08-28 12:00:00,strong,", ",cultural_element,: ,timeless
recorded_recorded,mostlya4-ea68-467a-8412-9c9d4554b077,KnowledgeDomain:KnowledgeGraphTriple,: ,concept,concept,Zulu,2024-03-22 15:08:00,moderate,concept,cultural_element,", ",historical
Swahili,mostly7f-4141-4be3-b7c4-4ac3ee602125,KnowledgeDomain:KnowledgeGraphTriple,,concept,relationship,Swahili,2025-06-04 14:55:00,strong,object,person,place,historical
Yorubaareanccalingrack m,mostly1f-2e12-48b1-9f77-cf41d5f7b310,KnowledgeDomain:KnowledgeGraphTriple,C_representation,concept,S,Igbo,2025-04-02 01:00:00,strong,strong,concept,: ,historical
temporal_aspect,mostly30-1ba9-4485-bddd-664c54af4bb6,KnowledgeDomain:KnowledgeGraphTriple,symbolic,place,} _ ,Swahili,2024-07-04 17:23:00,strong,subject: ,concept,"A.4808-0.705,.0213,1.190,09231_, ",historical
symbolic_language,mostly56-64dd-4a4e-9cb9-9b299819126e,KnowledgeDomain:KnowledgeGraphTriple,"2024--1 5.4,0.5876,1.36-5223,1.1705,-1.221704,-1.0403-,,-0.46,-0.1249-1-15,0..16,0.42,4-0.4312,-00.092,",cultural_element,subject-0202--0103:00,Swahili,2024-04-13 17:32:00,moderate,",_graph.07",concept,Zulu,timeless
knowledge,mostlydb-f3ce-4180-b021-fc4468d72643,KnowledgeDomain:KnowledgeGraphTriple,2025{,concept,", ",Yoruba,2025-03-30 05:36:00,moderate,St,concept,object,historical
Igbo,mostly68-ad79-457c-81aa-57bd911feed8,KnowledgeDomain:KnowledgeGraphTriple,: ,organization,", ",Igbo,2025-06-02 22:57:00,strong,object,organization,}strong,historical
primaryo_embedding,mostly3b-abb5-4404-a93d-0709790c76f2,KnowledgeDomain:KnowledgeGraphTriple,strong,concept,recordedfnan  Africabici,Zulu,2024-06-05 08:39:00,strong,"}10.6214,0.1347,0.4906",object,: ,historical
historicalarnk Africao pslingric an,mostly3e-556e-4bbd-80ae-9fa687502a24,KnowledgeDomain:KnowledgeGraphTriple,strong,event,contextth,Yoruba,2025-08-23 22:23:00,moderate,subject: ,concept,temporalaspectg ofaos,historical
is00,mostlyda-2e97-4514-9de7-c77a739be52b,KnowledgeDomain:KnowledgeGraphTriple,"S,  ",concept,", ",Shona,2025-08-20 05:54:00,strong,: ps,object,}relationshiptaspects,historical
predicate,mostly58-b216-4237-bfe5-eb9cf297fd8f,KnowledgeDomain:KnowledgeGraphTriple,object,cultural_element,subject,Zulu,2025-03-25 19:04:00,strong,-1,object,N_e,historical
K,mostlyc4-fe16-4cbd-803f-c1357ef55ef8,KnowledgeDomain:KnowledgeGraphTriple,,event,object ,Hausa,2025-09-14 14:50:00,strong,predicate,place,Swahili,historical
object,mostly84-2a2b-4004-bb1e-1035d9ea7b44,KnowledgeDomain:KnowledgeGraphTriple,primary_language,place,recorded_,Zulu,2024-03-09 10:42:00,strong,subject,place,is,historical
person_aspect,mostly8a-46c6-43b9-9507-a34e19d520ac,KnowledgeDomain:KnowledgeGraphTriple,", ",concept,strong ,Shona,2025-05-03 03:49:00,moderate,subject,object,Swahiliy,historical
", ",mostlye9-8bad-4f4f-84ab-c902c933a149,KnowledgeDomain:KnowledgeGraphTriple,place,event,predicate{,Zulu,2024-03-14 09:49:00,strong,"2024--0.18.12.25,}1-09 ,04",person,: ,current
person,mostlyae-dd07-4deb-a6b3-fe0e57667546,KnowledgeDomain:KnowledgeGraphTriple,context,place,: {,Hausa,2024-04-13 17:36:00,moderate,A,place,"2025t,",historical
historicalnl,mostly1d-37d4-4e4f-9686-cf25016fc7d9,KnowledgeDomain:KnowledgeGraphTriple,historical,concept,subject,Yoruba,2024-04-02 15:02:00,moderate,,person,,historical
strong,mostly67-4279-4b28-ba0b-a9cae0a01b8f,KnowledgeDomain:KnowledgeGraphTriple,"Igbo_oracme in sb p, ",place,: ,Zulu,2024-01-14 08:15:00,strong,} {,place,: ,historical
object,mostly79-bee2-4572-b19a-5a0b891824f1,KnowledgeDomain:KnowledgeGraphTriple,predicate,place,C ,Swahili,2025-02-12 22:55:00,strong,organizations,place,", ",historical
{,mostly29-59d6-4d78-ae8b-6fb399a3aa6d,KnowledgeDomain:KnowledgeGraphTriple,: ,concept,: {,Zulu,2025-05-05 04:27:00,weak,predicate,object,temporal,historical
subject_type,mostly84-2c34-4c3b-b0ad-9c6f50216766,KnowledgeDomain:KnowledgeGraphTriple,", ",concept,concept,Amharic,2024-04-21 12:34:00,strong,neuraleeraral inioreliecic and,organization,historical,timeless
relationship_representation,mostlyaa-bb9c-45d0-bee4-cec2916feafe,KnowledgeDomain:KnowledgeGraphTriple,:00,place,", ",Igbo,2025-08-11 14:03:00,weak,moderate,place,Yoruba,historical
strong ,mostly0d-ab99-4256-849f-b4f57e48cd91,KnowledgeDomain:KnowledgeGraphTriple,symbolic,concept,relationship ,Amharic,2025-04-07 13:00:00,strong,Zulu,place,2024ting ,historical
"strong-0.86,-0.7829,1.3037,-05}1.8,-0.45",mostlybd-a73a-4877-baf0-de0cbc88daba,KnowledgeDomain:KnowledgeGraphTriple,N ,concept,predicate,Oromo,2024-01-20 11:11:00,strong,subject,place,object,historical
moderate,mostly7c-43cb-4f8e-b6a6-c90583d5c4ca,KnowledgeDomain:KnowledgeGraphTriple,moderate,concept,S,Swahili,2024-03-14 15:45:00,weak,2025,place,: ,historical
Nile,mostlya0-b9ee-4d76-9405-32db0df81db7,KnowledgeDomain:KnowledgeGraphTriple,", ",concept,: ,Yoruba,2025-03-15 19:09:00,strong,primary_representation,place,,historical
:00 ,mostly78-3090-423f-a409-e28b45d5878a,KnowledgeDomain:KnowledgeGraphTriple,subject,concept,place,Hausa,2024-06-11 15:48:00,strong,contextts,concept, ,timeless
subject,mostly2a-b96c-443e-a41a-f9dfb76de42f,KnowledgeDomain:KnowledgeGraphTriple,Nf ,concept,object,Yoruba,2025-06-11 09:18:00,moderate,: ,person,strong,historical
person,mostly77-e567-4450-9534-bd14b89369b9,KnowledgeDomain:KnowledgeGraphTriple,2024an,place,", ",Zulu,2024-07-13 18:07:00,moderate,: ,place,Ga-es0u,historical
strong,mostly09-cb5a-4d63-a122-5a82c976a339,KnowledgeDomain:KnowledgeGraphTriple,"weak_a, {",concept,"place-0.3860.47,00.0,,1..191,0.764,0.,191, ",Yoruba,2024-04-03 15:16:00,strong,object_,person,Zulu,timeless
", ",mostlyc5-07a3-4438-b73d-dc786eda7893,KnowledgeDomain:KnowledgeGraphTriple,historical,place,",0.553,-0.5.13,0.18,151170, --.126-0,1.050.29,-0.07,1.3601,1.130, -00.2304,-00.847,048.5,490.153,-237:0.32, predicate:-T",Hausa,2024-08-02 17:09:00,weak,Ma,cultural_element,"moderatee Africa, ",historical
knowledge_n,mostly26-79ca-4bd8-858e-b59faf05b774,KnowledgeDomain:KnowledgeGraphTriple,M,concept,neural_embedding,Zulu,2025-03-28 11:42:00,moderate,concept_aspect,organization,subject_type,historical
: . of ,mostly8e-d796-4c5a-b81b-241aa04849b9,KnowledgeDomain:KnowledgeGraphTriple,neural_strength,place,subject_,Hausa,2024-12-12 22:14:00,strong,culturalktu,place,knowledgeal {,current
subject_representation,mostly1e-bfba-4005-bf23-c73710ef83eb,KnowledgeDomain:KnowledgeGraphTriple,: ,object,2025,Swahili,2024-10-18 03:59:00,strong,A,person,", ",current
: ,mostly10-617f-4a4b-8a06-592a7df2cabb,KnowledgeDomain:KnowledgeGraphTriple,strong,concept,", ",Yoruba,2024-05-05 02:21:00,moderate,object_type,concept,symbolical,historical
predicate,mostly52-b62f-47dd-a73f-92c7e350b614,KnowledgeDomain:KnowledgeGraphTriple,relationship_aspect,place,subject,Amharic,2024-12-11 09:46:00,strong,object,place,strong,historical
"2024--.30115,-0.60003,-0.07,1.42228,0.02248, ",mostlyf6-01f8-4ae5-8c87-320d13dd4f46,KnowledgeDomain:KnowledgeGraphTriple,", ",organization,neural,Igbo,2025-09-29 17:32:00,weak,,place,predicateri,historical
C ,mostlyd4-ea0e-4d78-add0-f41faaaabd33,KnowledgeDomain:KnowledgeGraphTriple,: ,concept,symbolic{,Yoruba,2025-04-01 15:36:00,weak,historical,person,_type,historical
predicateats- carit,mostly60-149e-4e5f-9446-8c36ee133536,KnowledgeDomain:KnowledgeGraphTriple,subject_T,cultural_element,concept,Igbo,2024-11-10 18:29:00,strong,S,place,place,historical
Amharic,mostly57-951b-4c10-88c6-b8170fb74cd2,KnowledgeDomain:KnowledgeGraphTriple,place ,event,"M,u",Amharic,2025-04-13 05:50:00,weak,subject,organization,T ,historical
primary,mostlyf5-3325-46d5-92d5-a73ba613d706,KnowledgeDomain:KnowledgeGraphTriple,predicate,concept,} ,Swahili,2025-08-26 18:19:00,strong,predicate,cultural_element,: ,historical
"-1-03-1-0.34,90.7604,-1.57-105,-0.06,1.63,0.282-11.909:,30.2800,170.2,-1.029,0.9597,0.08.47,-0.38708,1.24,-0.43,1.874,,--0..0306,-0.762",mostlyf4-053a-40c6-bb6f-d7a35d295347,KnowledgeDomain:KnowledgeGraphTriple,: ,cultural_element,Cricicvriug Africamt,Swahili,2025-05-18 01:04:00,moderate,Zulu,person,,historical
Zulu_representation,mostlyb8-eb45-410b-9687-38b34c315dc7,KnowledgeDomain:KnowledgeGraphTriple,K,place,concept,Amharic,2025-05-28 17:46:00,strong, ,place,Ma,historical
,mostlyef-fb7d-4b4f-86a2-0d2c71c8d573,KnowledgeDomain:KnowledgeGraphTriple, y,concept,influen,Shona,2024-06-15 03:57:00,moderate,neural_aspect,person,historical,historical
", ",mostly47-9a7e-4a53-8fbb-310a9ba3d042,KnowledgeDomain:KnowledgeGraphTriple,202400,concept,2025,Igbo,2025-05-21 04:07:00,strong,: ,concept,knowledge}_language,timeless
"2024.13105,-0068-T10.32,0.16,0.23032,1.0642,-0.3,0.871:49,1.33,-0.150.322,-0.9048subject,-0.257,2-0.45-10.176,",mostly07-2783-4eeb-876c-53ba1fa1ce7c,KnowledgeDomain:KnowledgeGraphTriple,Swahili_at,concept,historical,Swahili,2025-05-05 19:48:00,strong,subject,place,"2024-12,-:041.197642subject,-1.489,1.6157:.484,010.32,0.27222,-0.761:100,-0.528,49, ",historical
 ,mostly23-1081-4649-9f39-b78002ac75de,KnowledgeDomain:KnowledgeGraphTriple,,organization,context,Amharic,2024-03-19 00:40:00,weak,{,place,}0s.180,historical
", s.",mostlye2-852c-4af0-be26-e2b4db222100,KnowledgeDomain:KnowledgeGraphTriple,"2025aspectal pe in, ",concept,timeless,Zulu,2024-02-09 15:41:00,strong,context,person,M,historical
strongk,mostly0d-d323-44cf-823d-740ac2e61f32,KnowledgeDomain:KnowledgeGraphTriple, ,concept,strong,Amharic,2024-03-23 16:34:00,strong,object_type,event,G,historical
: {,mostly61-50bc-4033-b9aa-afc903a1096e,KnowledgeDomain:KnowledgeGraphTriple,2024,place,place,Swahili,2025-06-19 03:54:00,strong,temporal,place,_type,current
temporaleneale,mostly85-b0d1-4387-bfdc-34acac98cbc3,KnowledgeDomain:KnowledgeGraphTriple,context,concept,symbolic{,Zulu,2024-05-12 13:58:00,weak,subject,concept,concept,current
object_type,mostly5b-b384-413c-83f9-f029504fbfea,KnowledgeDomain:KnowledgeGraphTriple,predicate,place,knowledge,Oromo,2025-09-29 17:32:00,moderate,place,place,subject_embedding,historical
: ,mostlyb0-db62-47ca-99de-2de2e8a83f05,KnowledgeDomain:KnowledgeGraphTriple,place,concept,:er morra,Swahili,2024-12-01 19:32:00,strong,temporal_type,cultural_element,: ,historical
: ,mostly57-087e-42bf-9f71-f50c92186846,KnowledgeDomain:KnowledgeGraphTriple,neural_at,cultural_element,"primary0.279,0.89,0.72,0.15-0.41,-0.243-1.1000.5,-1.25,1.7175-0.818",Zulu,2025-05-30 12:08:00,strong,primary_ ,person,is: ,historical
concept c,mostlyaf-b0bc-4c1b-8eee-81b463925831,KnowledgeDomain:KnowledgeGraphTriple,"2025--081.6205,-1.3642,-0.8713,1.06,-06",organization,,Zulu,2025-05-04 12:07:00,strong,predicate,object,2025typeo,historical
neural_,mostly59-15b9-4fde-830a-f65333bcbbdc,KnowledgeDomain:KnowledgeGraphTriple,concept,concept,primary_at,Yoruba,2025-06-01 18:49:00,moderate,20242o ,organization,neural,historical
: ,mostly03-4982-4c2f-8804-4b01965dfc71,KnowledgeDomain:KnowledgeGraphTriple,subject,concept,: ,Yoruba,2025-04-23 07:57:00,strong,context,concept,moderate,timeless
predicate,mostly51-a9dc-4cc0-b530-5db77d1e516c,KnowledgeDomain:KnowledgeGraphTriple,strong,place,", ",Yoruba,2025-04-19 16:33:00,strong,: ,place,", ",current
: ,mostly2f-49fe-4c42-8fb4-cd92e876129a,KnowledgeDomain:KnowledgeGraphTriple,"A,",place,"temporal0.2,-.-04:0.3948T,-0.752, ",Shona,2025-07-15 04:38:00,strong,-s.292: ,place,moderate,historical
object_at,mostly5f-b54f-44ec-b395-7ce3f3380ab9,KnowledgeDomain:KnowledgeGraphTriple,,place,: ,Amharic,2024-08-21 16:49:00,strong,recorded-_aspect,concept,: ,historical
neural,mostly50-9c6f-4333-9be3-1a532555afc7,KnowledgeDomain:KnowledgeGraphTriple,moderate,concept,Igbo,Swahili,2025-02-23 15:55:00,moderate,personsb ,organization,M,timeless
", _aspect",mostlyc8-8a9f-4cf7-ac9b-37f2d3945d74,KnowledgeDomain:KnowledgeGraphTriple,context,concept,C ,Amharic,2024-06-05 17:32:00,strong,symbolic_at,organization,neural_,historical
", ",mostlya1-879f-419e-8657-5c3f4d660507,KnowledgeDomain:KnowledgeGraphTriple,South,cultural_element,temporal_graph,Amharic,2024-09-29 07:56:00,moderate,relationship_at,cultural_element,context,historical
",  ",mostlyfb-aa60-494c-8300-bbb0b85d3e67,KnowledgeDomain:KnowledgeGraphTriple,object_at,concept,Marriic Africab ,Shona,2024-04-17 21:54:00,moderate,: ,cultural_element,G: ,timeless
context,mostlyda-17a8-4cc1-835d-b33de27cfe9e,KnowledgeDomain:KnowledgeGraphTriple,"20240.128,:00",place,", ",Igbo,2024-04-27 22:45:00,weak,historicaleingan and riyation-T1,place,", ",historical
