activity_type,age_years,description,developmental_milestone,emotional_development,id,labels,lesson_learned,location,primary_language,proverb_or_wisdom,recorded_at,social_context,symbolic_logic
creative,10,symbolic,developmental_learned,creativity,mostly92-9b33-4be5-aa90-bdf777eabead,Childhood:KnowledgeDomain,2025-050..,primary_language,Yoruba,}{,2024-03-14 10:30:00,B,lesson_years
cultural,4,neural_milestone,: ,respect,mostly67-cd9f-4a3c-a6d5-55207ccdd586,Childhood:KnowledgeDomain,: ,"symbolicre s m te, ",Yoruba,emotionalrecorded,2024-05-03 20:53:00,age_type,social_type s
game,3,neural_learned,":00, and00",respect,mostlyd9-dc6f-43b5-a8e0-9c966cfe60b4,Childhood:KnowledgeDomain,childhood_context: ,,Amharic,age_type,2025-03-20 23:03:00,If,", "
learning,3,,Hausa_learned,confidence,mostlye3-a7e5-4f6d-8c76-be70f74b35bb,Childhood:KnowledgeDomain,childhood: ,2025,Swahili,"-0.8,-0-91.",2024-02-09 02:43:00,lesson_or ,M
physical,7,developmental_milestoneT}development.,neural_logic,confidence,mostly24-7251-4886-94d0-cae756d4d58e,Childhood:KnowledgeDomain,: ,developmental_embedding,Oromo,T- ,2025-03-04 07:22:00,neural_wisdom,: 
game,9,"respectank;sor,.",E,resilience,mostly25-b4a8-4f2c-a0f2-fc393533b779,Childhood:KnowledgeDomain,"C0.2310 to,.",Pe,Swahili,: {,2025-09-28 19:43:00,} ,"--0.883828,104-1902.."
storytelling,11,M,Ce ande e to s.ktsed).,cooperation,mostly7c-beb8-4f76-a18b-0a6796363c4d,Childhood:KnowledgeDomain,social_or,2025,Yoruba,primary_language,2025-09-12 20:38:00,If,: 
play,3,location}},C_at,creativity,mostly73-d5ee-42ad-a5b2-8048880c5aca,Childhood:KnowledgeDomain,H},recorded_years,Swahili,age_years,2025-09-05 01:48:00,{,Amharic: {
storytelling,4,", {",If,resilience,mostly89-8594-485d-a3cc-1e6292fff7f6,Childhood:KnowledgeDomain,age_type,age_,Amharic,activity__or,2025-05-06 06:53:00,location the the sitau)uo a then for twy andedes so and,If
game,5,Amharic,primary_embedding,cooperation,mostly49-2e68-43ed-8288-8f8a6d0b74df,Childhood:KnowledgeDomain,primary_type,developmental_or_,Zulu,"recorded}ortsl the ine, thener p mort in he the andy.",2025-01-05 04:55:00,N_k,: {
play,11,", ",Ssand  hhringesus.,cooperation,mostly52-c645-4c47-9242-7cf7945d030c,Childhood:KnowledgeDomain,2025 ,primary_learned,Zulu,C_milestone,2025-08-27 08:19:00,social_or:wisdom ,: 
social,7,neural_learned,primary_language,cooperation,mostly15-f527-41b2-9d67-abdd301abb95,Childhood:KnowledgeDomain,"A-1120.69307,0.9.",", ",Zulu,confidence,2024-08-12 02:44:00,age_language,} 
creative,8,"proverb_milestone, ",", ",resilience,mostlye9-993c-4ab7-818f-e301a0f2b445,Childhood:KnowledgeDomain,",0-.761,-0.097609,00.81340.61,0.965, then.050},.1,-0.606,0.0",social the,Igbo,developmental,2025-04-02 09:38:00,"symbolicices, thens. the andas in ake toc hen spy to byb isu ( d with pess,era.",: {
learning,9,primarydevelopment,neural_at,resilience,mostlyf4-eb2c-406e-8acf-499c5b559099,Childhood:KnowledgeDomain,}_logic,proverb_language_development,Shona,Te mts a,2024-06-27 09:59:00,H_.,If
learning,6,ageat.,Swahili,empathy,mostly30-73eb-4149-aec5-d0d6b3d1d4d2,Childhood:KnowledgeDomain,", 8 ",activity_-: ,Hausa,emotional_learned,2024-05-31 10:36:00,If_,location
learning,7,emotional_learned,respect.,respect,mostlycd-68af-46a9-a204-6638a40fe0d9,Childhood:KnowledgeDomain,recorded_years,", ",Amharic,primaryat,2024-11-19 18:32:00,,", "
storytelling,3,", ",lesson_milestone,curiosity,mostly79-e100-45db-811d-4f4d43fc0fef,Childhood:KnowledgeDomain,: ,proverb_years,Swahili,lesson_at,2024-10-10 23:07:00,",1 ",neural_logic
play,9,activity,description,cooperation,mostlyc1-c6ab-4a40-8265-69484db35923,Childhood:KnowledgeDomain,",.052,0..45, ",F,Shona,,2024-09-05 03:53:00,N,S_type
game,3,symbolic_logic, ,confidence,mostly0e-ad9e-4ed2-b624-08e33559e13d,Childhood:KnowledgeDomain,2025,Sor_at,Zulu,,2024-01-26 03:37:00,social_wisdom,", "
storytelling,3,", ",age_years,respect,mostlyc5-0bc1-43b5-832c-d206741edd93,Childhood:KnowledgeDomain,R0., ,Amharic,_e,2024-12-14 01:14:00,,: 
game,4,neural: ,social{,empathy,mostly60-f3c0-4fce-94c4-2ee1adf19f0f,Childhood:KnowledgeDomain,", ",symbolic,Shona,symbolic_language,2025-07-30 09:38:00,description,E_milestone
play,6,}r ,lesson,confidence,mostly2e-fc04-427c-a566-4847ec3f73d7,Childhood:KnowledgeDomain,symbolic,"socialoreg, and",Yoruba,childhood,2024-12-24 17:28:00,",-002",location
play,11,age_or_or,neurall,curiosity,mostly29-baaf-4602-a469-7d4875235385,Childhood:KnowledgeDomain,proverb__wisdom,recorded_development,Swahili,:} {,2025-06-25 15:19:00,age_development,"I s in s, thensattstie,ed the"
game,5,developmental_milestone1,Swahili,cooperation,mostly45-80d7-4420-a6df-689561bf0a6f,Childhood:KnowledgeDomain,primary_language2_at,},Hausa,social_context,2025-04-02 11:18:00,description,Nr.
social,5,Ife aes t,primary_context,confidence,mostlyea-5e94-442b-85d3-f0ace9f71052,Childhood:KnowledgeDomain,K_context,Pie thetme the stanss-alingtt.,Igbo,C_at,2024-09-09 00:19:00,: ,neurallanguage
play,11,primary_learned,"recorded, ",creativity,mostly05-c8c9-4ab9-9292-8edc748124df,Childhood:KnowledgeDomain,: ,F_embedding(ororesemtingm(en.,Hausa,If,2024-04-28 17:45:00,"SwahiliTpktsal m, ",childhood
cultural,12,2024_logic,age_logic_language,confidence,mostly59-8782-4067-9bc4-97fb45666c9a,Childhood:KnowledgeDomain,F: ,Eeker in.,Yoruba,S ,2025-03-19 09:28:00,confidence,", "
social,9,recorded an,age_context,cooperation,mostly5a-ed77-40ca-bcfb-10aefd863c6e,Childhood:KnowledgeDomain,primary_or_learned,C_milestone,Shona,If ,2024-03-10 14:39:00,", ",: 
creative,8,B_learned,"A, ",curiosity,mostly08-ec5d-457e-a041-66fa9843d85d,Childhood:KnowledgeDomain,lessonor_wisdom,emotional_learned,Amharic,R_development,2024-02-22 02:38:00,symbolic_learned,neural
game,5,playrping,learning,cooperation,mostly44-bfc5-452d-baae-df167748ae17,Childhood:KnowledgeDomain,recorded_learned,"developmental, ",Zulu,,2025-03-09 22:16:00,developmental_wisdom,emotional__language
play,5,", ",symbolicat,cooperation,mostlyc6-5c4a-43b5-8f9b-55ad7363b6f5,Childhood:KnowledgeDomain,location,location,Igbo,emotionales: ,2024-12-25 09:55:00,2024-,: {
learning,6,descriptions, ,confidence,mostlyd6-7993-4da3-b7b3-08995b2e818b,Childhood:KnowledgeDomain,emotional,respect,Yoruba,2024},2024-12-05 09:22:00,proverb1ati ,symbolic_milestone
cultural,12,If_logic,proverb_years,creativity,mostly04-b572-4dda-b097-9d325b2a0d9e,Childhood:KnowledgeDomain,developmental_development,location,Shona,lesson_or s ,2025-08-30 08:21:00,K,
physical,3,activity,} {,confidence,mostly59-0253-4cf8-b8c4-eb1b0847a8e3,Childhood:KnowledgeDomain,developmental_development,R_context,Amharic,symbolic,2024-05-15 17:30:00,", ",: {
storytelling,5,C_language,proverb_logic,respect,mostly2d-f175-4fc8-9812-34fefe9b13a9,Childhood:KnowledgeDomain,learning,P,Hausa,symbolic_wisdom,2025-09-28 19:43:00,description,B_logic
cultural,12,"S-16s,1.313,-0.0408312,-0.6215-,0.1-3",",0.",respect,mostly6e-2497-4f64-9bb3-43e4f49cb89e,Childhood:KnowledgeDomain,S,E_type,Zulu,H_years,2025-08-09 11:43:00,primary_context,confidencealping a m m and htiy;etsesy then to
social,11,developmental_or_wisdom,Ifes ,cooperation,mostlyf7-973e-4b56-bbfb-b38b6361a507,Childhood:KnowledgeDomain,lesson_wisdom,: ,Amharic,I.,2025-02-09 08:01:00,neural_type,", "
social,7,"-0.13050.39T,-0.62912,-0.707,-01.75,11307,--10202-1.07",description: ,respect,mostly62-5295-4634-bcff-f63987ec6773,Childhood:KnowledgeDomain,S_or,neural_milestone,Oromo,: ,2025-08-08 03:14:00,social_at,: 
social,6,primary,confidence.,creativity,mostlyd9-2482-4658-b184-7f93b41a9874,Childhood:KnowledgeDomain,If the,If_years,Oromo,primary_language,2025-09-28 19:43:00,developmental,play
creative,6,location,emotional_at,curiosity,mostlyb8-2403-41e8-85bd-9b792418ca34,Childhood:KnowledgeDomain,"Eesip aupsor,b cessw.",", ",Hausa,age_oring,2025-03-26 09:40:00,", ",A
storytelling,7,R_language: ,A ,respect,mostlya4-f27a-42cf-8c9e-d07a14234c4f,Childhood:KnowledgeDomain,}{,: ,Swahili,Amharic,2025-01-19 13:00:00,: ,activityactivityor_at
storytelling,10,primary_context,neurallanguage,curiosity,mostlyc0-805a-4f22-a03f-1b717922700d,Childhood:KnowledgeDomain,"P, ",description,Yoruba,C,2024-08-15 20:02:00,neural2024_years,social_language
storytelling,8,":embedding, ","N--1.5,0.",respect,mostlyb0-7296-44e0-bf08-7d51f1728644,Childhood:KnowledgeDomain,P as,,Igbo, ,2025-04-26 22:43:00,activity ,symbolic_logic
storytelling,8,learning,: {,respect,mostlydc-8b60-4852-ae1f-ff6516082aab,Childhood:KnowledgeDomain,proverb1{,} {,Igbo,M,2024-05-18 01:45:00,: ,lesson
creative,5,,symbolic h_,empathy,mostlyd1-bcfa-4929-88f3-7ae3885a74a4,Childhood:KnowledgeDomain,Er smeo ,age_context,Igbo,"20240.088,-0.8T15,15-080806}: ",2025-02-28 08:42:00,", ",activitykasa
game,5,} ,"2025-0.06-,-T07: ",resilience,mostly66-7ae3-4ed9-a2ad-cdf04bce61f3,Childhood:KnowledgeDomain,: ,description,Zulu,: ,2024-05-21 15:53:00,If,: 
learning,4,lesson,So ,confidence,mostly91-e93e-4351-abf2-9522fa57a73f,Childhood:KnowledgeDomain,"2025-0108,-02.06011,-.","primary a fa f p theves, ande, ",Yoruba,,2025-02-19 10:02:00,description,social_learned
learning,9,: ,activity_logic,curiosity,mostly6e-e329-4c10-824b-06e6b0a11920,Childhood:KnowledgeDomain,,neural_embedding,Amharic,recordedi {,2024-03-07 15:07:00,play ,}B_embedding
storytelling,6,}description and_eses,F,resilience,mostly0f-37db-4620-8250-a6bfe71b4a37,Childhood:KnowledgeDomain,location,social_type,Igbo,location,2025-09-28 19:43:00,Zulu,: 
game,9,developmental_type,S,cooperation,mostlya9-1b78-4618-8393-245f22b2ddb5,Childhood:KnowledgeDomain,If,emotional_or,Shona,: ,2024-07-09 19:30:00,", ",proverb_language
game,3,,lesson_language,curiosity,mostly3a-f3ae-41da-9875-efb96373284b,Childhood:KnowledgeDomain, ,} {,Oromo,neural_logic,2025-07-04 04:49:00,locationasalane ,neural_language
cultural,7,Ban,:,confidence,mostly32-1137-473c-a8e3-d431eeb05ea5,Childhood:KnowledgeDomain,developmental_ ,emotional,Amharic,} {,2024-01-24 01:03:00,} ,Ifank medingky kal witho tos and andta).
learning,6,primary_embedding,I,respect,mostlye7-f1dc-41d5-b912-713fb012fbf2,Childhood:KnowledgeDomain,location,location and-a.,Igbo,If,2024-06-03 09:43:00,,location
learning,11,activity {,", ",curiosity,mostly51-4f1e-4a3f-be75-4782a7d54e8b,Childhood:KnowledgeDomain,: ,: ,Swahili,,2024-07-09 10:40:00,{,description
learning,10,symbolic_wisdom,{,empathy,mostly66-d92e-409a-a873-7c4982ae0d18,Childhood:KnowledgeDomain,: ,: ,Zulu,P,2024-05-30 15:49:00,"Buaresubip, ",", "
creative,7,description,"If mts a s, then s,0.584,,0.256 ",confidence,mostly31-2cc4-4962-b5ed-f9454ad7d9e0,Childhood:KnowledgeDomain,recorded_logic,neural_milestone,Hausa,developmental_language,2024-01-19 18:54:00,S,activity {
storytelling,8,respect,: ,respect,mostly4c-abe0-440b-8bb2-2a61a61b4289,Childhood:KnowledgeDomain,: ,Zulu,Amharic,2025,2025-07-18 04:48:00,neural,emotional
storytelling,8,recorded_years,location,curiosity,mostlyad-21ea-4c55-9601-8e85d99c37e7,Childhood:KnowledgeDomain,"Ifies, then and",If_language,Shona,{,2024-10-28 22:07:00,,T_type{
storytelling,5,O_,B_context,cooperation,mostly30-9c74-4343-b143-0b064b051e70,Childhood:KnowledgeDomain,description,,Swahili,childhood,2025-07-25 15:48:00,: se s bi and rey the ner.,neural_wisdom
game,10,I.,If_milestone,cooperation,mostlyf5-cf9d-4df6-8e80-d324f7f66ee0,Childhood:KnowledgeDomain,B_atp pargu fe in {,learning,Zulu,,2024-08-18 04:02:00,",_embedding",recorded{
learning,6,recorded,age_learned,curiosity,mostlyfe-575d-4897-b72f-02ad51d1193a,Childhood:KnowledgeDomain,:,primary_development,Shona,,2024-06-05 15:19:00,"respect.4,-0-21.0171,-0.4543591,0038305019,.691,14, then0.66 ",2025 
cultural,12,description,N,confidence,mostlybb-fe46-458a-816e-ff88b391ee24,Childhood:KnowledgeDomain,neurala f no with s mk- and.,{,Yoruba,Hausa,2025-08-07 17:36:00,Amharic,"2024-0213,-121.802,0.03,-0.25.0848, "
social,6,,Amharicm theal,curiosity,mostlybc-4150-4be1-8924-8457ed3bb12a,Childhood:KnowledgeDomain,"N, ",: ,Igbo,"Ifin the;) aeds, st ssh sk",2025-03-19 14:59:00,description,: 8 
learning,3,- ,S,cooperation,mostly68-b6e8-4ce9-b1f6-37313317a91d,Childhood:KnowledgeDomain,location,recorded_development: ,Swahili,location_,2024-08-02 15:02:00,N{,cultural 
game,4,I,: ,cooperation,mostly0f-6840-4550-930d-f62568c2f79c,Childhood:KnowledgeDomain,", ",location,Swahili,R the,2025-09-28 19:43:00,:} ,neural_embedding
play,9,recorded_learned,age_context,resilience,mostlyf3-f94e-4678-bf4c-c1bff9474d25,Childhood:KnowledgeDomain,If ,symbolic_atan,Oromo,Pi ted.,2024-04-04 09:05:00,H ,", "
learning,10,}age,respect,resilience,mostlyf6-c422-4779-90e0-a65f7dc76f8c,Childhood:KnowledgeDomain,lesson{,S_language,Yoruba,location,2025-05-26 08:32:00,proverb_type,: 
cultural,6, ,If_,empathy,mostly6c-74f8-412e-9bcf-237647ea785d,Childhood:KnowledgeDomain,2025,}_logic,Hausa,lesson,2025-09-28 19:43:00,age_wisdom,O
social,4,", ",activity_type,cooperation,mostly40-c456-45c6-ac80-b503ddf41fa0,Childhood:KnowledgeDomain,neural_context,"B,0.",Yoruba,2024logic,2024-03-27 00:54:00,2025 ,proverb_
physical,3,B ,activity_milestone:00,confidence,mostlyc3-4696-44ca-8fbd-55c884a39648,Childhood:KnowledgeDomain,Ifrials thea.,activity__years,Shona,:  ,2024-07-07 04:48:00,activity_wisdom,age_years
game,10,P- (n- ,If ,cooperation,mostlya2-0042-483c-8ca0-cae190035880,Childhood:KnowledgeDomain,", ","If, ",Zulu,Hing).,2025-04-02 19:20:00,primary,"Pat ct thear, "
play,11,symbolic_development,description,curiosity,mostly81-bf1f-4c1f-a655-711607e5f7e9,Childhood:KnowledgeDomain,", ",", ",Swahili,primary_language,2024-04-09 21:01:00,location,2025_years
physical,10,: ,: 7: ,creativity,mostly7f-bbb1-480e-acef-99461b9deba6,Childhood:KnowledgeDomain,description,",0.",Oromo,B,2024-05-21 09:32:00,", ",", "
cultural,12,If,R_years,respect,mostly67-2bba-4063-9dfa-eba89be23dae,Childhood:KnowledgeDomain,,description,Shona,"2024-14.3807,",2025-02-09 16:05:00,age_logic,"R the b mcs hta withor withsc h, theny auts."
physical,11,"If you a a inor hak the ti) thenter, theno ",primary_at,respect,mostly53-45a4-4f8d-8571-c998812b0c13,Childhood:KnowledgeDomain,activity__type,P,Swahili,"-105,0.0795-.0.8031,0.80",2024-10-15 15:09:00,2024,childhood
cultural,10,location,symbolic_atk,creativity,mostly45-c5a0-45ec-83d7-275a655a1fca,Childhood:KnowledgeDomain,developmental,: ,Shona,2024,2024-03-29 20:29:00,M ,"developmental-0}9.93, "
learning,5,", ",", ",cooperation,mostly8d-2503-4e6e-89bf-cc0c2bd1a95e,Childhood:KnowledgeDomain,Zulu,:00,Igbo,", ",2025-08-27 15:33:00,I,lesson_milestone
learning,7,: ,activity_development,confidence,mostly1d-e10a-4151-9241-4a65cf7f310f,Childhood:KnowledgeDomain,: ,"Ifo, ",Amharic,S0.,2024-04-22 16:46:00,description,R00
cultural,12,: ,P,respect,mostly0b-ba08-4026-ad13-33dd8f779c8d,Childhood:KnowledgeDomain,social_logiceed, ,Yoruba,,2024-10-25 01:17:00,"}.06, ",
learning,8,neural_language,locationes,confidence,mostly01-2362-479c-b1c5-7165bdf4af51,Childhood:KnowledgeDomain,2024,"202507orp;, e w and",Shona,respect,2024-03-26 07:40:00,A_,: {
storytelling,11,proverb_at,E_logic,empathy,mostly46-cc1c-41f0-9bdb-8f5d48b733cf,Childhood:KnowledgeDomain,social_embedding,emotional_learned,Swahili,symbolic_logic,2025-08-18 19:26:00,{,emotional
creative,9,primary,social_type,confidence,mostly44-9064-4207-b791-31707efec4f9,Childhood:KnowledgeDomain,lesson_wisdom,},Amharic,emotional_context,2024-08-09 13:47:00,C,2024
cultural,12,location,social_recorded,respect,mostlydc-9a3b-4551-b0fb-d25247a8300b,Childhood:KnowledgeDomain,location ,: {,Hausa,neural_embedding,2025-03-28 14:12:00,"Hsd.7.03,1,-092-1-0.1811T,-0.040.",lesson
learning,10,"T:,a {",Zulu ,confidence,mostly20-0bd0-43c7-8c6d-8e47e721f598,Childhood:KnowledgeDomain,activity_type,"Ifw, and the;ingp, ",Swahili,description,2024-05-25 17:28:00,: ,respect
creative,8,"developmentalrecorded, ",},respect,mostly66-a95f-48dc-8871-8453477e0b95,Childhood:KnowledgeDomain,,{,Amharic,"}-0.-12,0.40 ",2025-04-27 10:00:00,"age-070.1217, then.3,0.1504, ",P bs
cultural,7,F,S,respect,mostly16-5865-431f-8489-b07ee7ad613e,Childhood:KnowledgeDomain,}} {, ,Igbo,primary_learned,2025-03-22 21:00:00,S:in}c iness,KSast.
learning,12,C ,: ,resilience,mostly1f-5b2b-412f-b38c-42d31cb2b8ef,Childhood:KnowledgeDomain,", ",If ,Hausa,I,2025-07-31 04:09:00,H,respect
cultural,12,description.,emotional,respect,mostly5a-a38b-4e8b-a5ad-8d99be2769f3,Childhood:KnowledgeDomain,"2025, ","R2l and, then.",Hausa,primary,2024-04-25 19:59:00,: ,location
game,9,location,S_context,empathy,mostly65-1cb8-4204-9e84-6ad768740261,Childhood:KnowledgeDomain,If,H,Igbo,":--,0.06-0.29473,080.72",2024-03-27 18:29:00,},If_at
game,4,Amharicale,P,creativity,mostly19-0d08-4d3e-acff-921ec04d1d79,Childhood:KnowledgeDomain,: ,developmental,Igbo,,2024-08-17 13:21:00,symbolic_logic,proverb_} 
social,3,R_or,: {,cooperation,mostly60-3e01-4c8b-979c-d3b5a2e21c33,Childhood:KnowledgeDomain,B_embedding,If_years,Amharic,P,2025-05-24 04:15:00,2025_wisdom,: {
creative,4,", ",developmental.,cooperation,mostly59-eb08-465a-9e70-51a6fb363322,Childhood:KnowledgeDomain, ,Pi f the,Shona,If a baserwin ,2024-11-27 16:28:00,,", "
learning,11,lesson_logic_at,neural_milestone: {,curiosity,mostlya3-76ed-428e-ba08-666eae0ae9e8,Childhood:KnowledgeDomain,activity_type,M_type,Hausa,play,2024-06-27 23:12:00,,"emotional theo w,-0.909,-0.18-148-1.8-,-1..4838,T07,01.3832,.,-0.7"
play,8,} {,", {",confidence,mostlyc0-ccd8-4e89-b938-80e572fae178,Childhood:KnowledgeDomain,"2025-20.32914,0.0883,-0.7,.028,-25.T17, then00T,1.0.415285,0.0816,-0.306-08,-270.585,-,-0.1101,0.5736,0.1957,0.27T,-012.",location,Swahili,social_,2025-05-08 17:45:00,,C_i
game,5,S ,: ,confidence,mostly37-5a3e-49d4-a467-661cffdcb094,Childhood:KnowledgeDomain,If a the hat(i.,P ,Amharic,K the,2024-09-21 09:40:00,developmental_years,age_years
play,7,description,symbolic_,confidence,mostlycd-a12a-4f2e-8f7d-be2db1d99a96,Childhood:KnowledgeDomain,: ,A,Zulu,location,2024-07-05 12:28:00,confidence_learned,location
physical,11,,description,respect,mostly35-f162-47f2-b55d-93cc8b45f62b,Childhood:KnowledgeDomain,2025_learned,Ifter,Yoruba,: ,2024-03-11 17:47:00,Tlanguage,F.
learning,4,I,symbolic_context,curiosity,mostlyab-ff6b-4a2b-90a4-38b2cc788cea,Childhood:KnowledgeDomain,", ",lesson_logic,Zulu,activity_milestone_milestone,2025-08-09 12:19:00,},: 
physical,6,activity,recorded_or the ,confidence,mostly44-b412-42ef-b146-6ceff21e6b44,Childhood:KnowledgeDomain,"Pasaes, ","If-0.11:,0.,-0.71,-090.25,-0.90.",Zulu,childhood,2024-08-17 07:48:00,C_embedding,
cultural,12,2024_context,: ,confidence,mostlye6-291b-4a70-af74-90f3f97b360a,Childhood:KnowledgeDomain,M.,Sor_development,Hausa,proverb_contextt: ,2025-01-28 22:28:00,symbolic ,Swahili
cultural,12,lesson_at,neural_at,resilience,mostlyd9-0c8d-472c-9028-a335fe038ada,Childhood:KnowledgeDomain,social_wisdom,U,Yoruba,proverb_type,2025-09-13 00:06:00, ,respect
social,4,activity_type,A,respect,mostlyf1-90f1-482a-97a1-1bd5f30ad8af,Childhood:KnowledgeDomain,location,age_years,Yoruba,",",2025-08-16 07:55:00,,"Ifa the h ss b to to c c, {"
learning,11,Ifaors theeed;sa in.,lesson_language,respect,mostly22-cd52-4d66-9871-99aa17b12a18,Childhood:KnowledgeDomain,symbolicest_es m inayesinging me.,location,Oromo,"B_type,1",2024-05-27 19:19:00,", ",location_
storytelling,5,play_language,: ,empathy,mostly17-082e-45b4-a4a8-c3d08738678e,Childhood:KnowledgeDomain,_development,emotionalor h to h,Oromo,childhood,2025-06-03 09:48:00,Zulus00,location
physical,3,recorded1b.,Swahili_logic,confidence,mostlya3-83bf-4d92-9478-1d9d1c3c3ebb,Childhood:KnowledgeDomain,E_or,symbolic_at,Amharic,childhood ,2025-05-15 09:48:00,}{,description
creative,5,", ",U,cooperation,mostly8c-298a-4381-ac8b-b32935825ac4,Childhood:KnowledgeDomain,},", ",Yoruba,: ,2025-03-17 02:38:00,primary_: ,"locationi thea syhes ho,- and c m h."
cultural,12,childhood,recorded_language,resilience,mostlyed-ae3c-47a7-9fe1-a2fecf1e6fe5,Childhood:KnowledgeDomain,Sae ced s in.,R as,Hausa,", ",2025-05-22 12:06:00,Swahili{,: 
physical,5,2025neural,,cooperation,mostly06-4bc4-45c9-bd9f-7807e4d6d074,Childhood:KnowledgeDomain,: ,,Hausa,}_learned,2024-03-05 08:30:00,2025.,2024_or
play,4,", ",agesocial ser tered as-u-.,respect,mostly08-76d5-4b70-a454-1bbbe3ce2158,Childhood:KnowledgeDomain,activity_type,emotional_ ,Zulu,2025_,2025-03-08 09:28:00,age_at,"E}ing h s,ed c_milestone fies"
physical,6,If_context,Amharic,cooperation,mostly0b-e06e-4576-b5e2-2b1cbd71445b,Childhood:KnowledgeDomain,cultural,", ",Zulu,,2024-05-17 09:55:00,Amharica,2024
physical,11,developmental,",T.4909}0.",empathy,mostlyd8-d4cb-4e60-b446-cc3494acbfaf,Childhood:KnowledgeDomain,Oin_years,2024_context,Oromo,description,2024-06-27 01:49:00,"}, ",social
storytelling,4,Amhariced,P_embedding,curiosity,mostlya3-5e2d-43a5-87cd-24577f5f9e64,Childhood:KnowledgeDomain,symbolic_development,U,Hausa,"2025T02, ",2024-08-25 00:58:00,S ,}} 
storytelling,5,location,location,cooperation,mostly31-52aa-4280-bbaa-aaff6c8ea1af,Childhood:KnowledgeDomain,F,", ",Amharic,age,2024-12-18 06:53:00,: ,2025
storytelling,6,recorded,: {,respect,mostly00-e483-4432-9686-0a9e6ce74af8,Childhood:KnowledgeDomain,Hausaoor_development,recorded_years,Amharic,social_language,2024-03-30 21:11:00,Amharic: ,", "
cultural,7,lesson_learned,",neural__",creativity,mostly66-ac57-4f84-ae86-1fc88eeabc88,Childhood:KnowledgeDomain,_,lesson ,Amharic,social ,2024-10-02 15:49:00,developmental_learned,emotional the.
game,4,2025,activity,cooperation,mostly5b-0d34-4b2d-9ab4-d43fe43a1919,Childhood:KnowledgeDomain,Amharic,locationk,Hausa,location,2024-10-28 19:40:00,Ur aesanc andes in ( aoinines ht in).5,symbolic
cultural,7,2025_years ,P_at,respect,mostly64-239a-4865-b860-2dfd4ec8ba9b,Childhood:KnowledgeDomain,If masptal;alal h withites kal,neuralage:- {,Amharic,social: ,2024-12-01 06:25:00,2024,recorded
creative,4,emotional_or_at,},resilience,mostly93-aa06-4175-ab07-b5fca8cb92d0,Childhood:KnowledgeDomain,recorded_milestone,"symbolicemotional, ",Amharic,age_wisdom,2025-09-28 02:30:00,S,symbolic_context
creative,8,description,,empathy,mostlyaf-d691-49c3-b5d7-ad2581c22727,Childhood:KnowledgeDomain,location,P,Igbo,social_language,2024-03-07 18:28:00,neural,"Cmor witheed, and and t thewar to aes the c c.."
cultural,7,primary,: {,cooperation,mostlye3-40b8-4f79-a596-36b22b1a934e,Childhood:KnowledgeDomain,Zulu ,proverb_context{,Zulu,neural_embedding,2025-01-06 23:38:00,R,
cultural,6,neural_s,If_learned,creativity,mostlycf-5dad-44a8-aa8f-85d4dc5dc211,Childhood:KnowledgeDomain,learning,,Hausa,activity_development,2025-09-01 06:51:00,location,If
social,12,_,", ",confidence,mostlydd-c4c7-432e-8534-22c63247f99b,Childhood:KnowledgeDomain,description,description,Swahili,If,2025-04-07 07:40:00,I,If_or
game,11,learning{,,cooperation,mostly34-f319-4720-9153-3a201aa430b7,Childhood:KnowledgeDomain,activity,Pn.,Swahili,"-0..391T,1.2,-0.17911,-0..6288,-,007.47,-1.147",2025-06-09 17:15:00,,If
cultural,12,,2024: ,resilience,mostly27-9d85-4fcf-ba6b-95459ca6995e,Childhood:KnowledgeDomain,", ",developmental_context,Yoruba,lesson,2025-07-17 01:26:00,: ,primary_development
game,5,{_milestone,,cooperation,mostly16-97b5-4115-8fdb-e5626325b142,Childhood:KnowledgeDomain,primary_learned,S ,Zulu,primary_at,2024-03-15 08:28:00,symbolic_type,:
learning,10,"2024-1.04,0",activity_language,resilience,mostlyfa-f83f-42c5-9e24-b490e6850740,Childhood:KnowledgeDomain,: ,primary_years,Swahili,} {,2024-11-24 06:51:00,neural_at,activity_type
social,11,2025 ,", {_development",curiosity,mostlyb2-791d-4df3-aa98-1c243fdfc9b8,Childhood:KnowledgeDomain,I,lesson_wisdom,Swahili,activity_: ,2025-09-05 11:43:00,Aat ,proverbdevelopmental_-
cultural,9,proverb_learned,P ,curiosity,mostlya5-c215-446d-bb59-23a02d88cab3,Childhood:KnowledgeDomain,If_ing,,Oromo,lesson_type,2025-04-27 17:52:00,proverbemotional_years,", "
social,7,description,developmental_development,resilience,mostlyd3-73d0-478b-b6f2-63f8d7d2dc64,Childhood:KnowledgeDomain,"}-T.5, {",emotionaleeaues.,Zulu,"Ifl thea b, ",2024-06-08 07:54:00,"20242, ",P {
creative,3,2024location,cultural_type,confidence,mostly21-2b34-4e86-b784-43a2d084fd9c,Childhood:KnowledgeDomain,neural_type,: {,Amharic,Hausa_development,2024-06-07 11:33:00,primary,2024 
physical,6,learning,agelanguage,curiosity,mostly48-98ee-464c-af96-54e053bd243d,Childhood:KnowledgeDomain,age_language,Cal anda h tdbed;taa-1 m p; andin)tbe.,Hausa,lesson_at,2024-08-18 09:03:00,location_logic,sociali the ( isesing(ses: 
